robert	19740406	1.82	82			12377	robert kovac	
robert pires	19731029	1.87	80			12284	robert pires	
s. boenisch	19870201	1.91	85			8658	sebastian boenisch	
christian eichner	19821124	1.83	76			6406	christian eichner	
dejan stankovic	19780911	1.81	75			12347	dejan stankovic	
danny webber	19811228	1.78	72			11933	danny webber	
sanogo	19821217	1.87	57			7470	boubacar sanogo	
sonck	19780809	1.74	75			1913	wesley sonck	
park	19810225	1.73	86			3220	park ji-sung	
antonio cassano	19820712	1.75	78			6680	antonio cassano	
andriy shevchenko	19760929	1.81	84			12194	andriy shevchenko	
fabio grosso	19771128	1.9	63			3385	fabio grosso	
ricardo quaresma	19830926	1.73	67			11126	ricardo quaresma	
jonny evans	19880102	1.88	57			12223	jonny evans	
michael essien	19821203	1.8	97			8557	michael essien	
francesco	19711202	1.96	95			6603	francesco toldo	
alberto gilardino	19820705	1.84	79			8144	alberto gilardino	
v. smicer	19730524	1.81	77			12329	vladimir smicer	
marko babic	19810121	1.65	72			12408	marko babic	
lee bowyer	19770103	1.76	66			8819	lee bowyer	
timo hildebrand	19790405	1.85	62			2710	timo hildebrand	
sulley ali muntari	19840827	1.79	67			12308	sulley ali muntari	
d. braaten	19820525	1.84	80			9068	daniel braaten	
modric	19850909	1.75	67			12318	luka modric	
marouane fellaini	19871122	1.94	85			4215	marouane fellaini	
alessandro nesta	19760319	1.87	79			7139	alessandro nesta	
cuauhtemoc blanco	19730117	1.75	85			12288	cuauhtemoc blanco	
dickson etuhu	19820608	1.88	83			2850	dickson etuhu	
damien duff	19790203	1.78	79			6069	damien duff	
sneijder	19840609	1.7	81			1623	wesley sneijder	
aaron hunt	19860904	1.83	82			7762	aaron hunt	
gennaro	19780109	1.77	77			11619	gennaro gattuso	
a. isaksson	19811003	1.99	100			6078	andreas isaksson	
eric abidal	19790711	1.86	74			12311	eric abidal	
guerrero	19771130	1.7	95			12409	ivan guerrero	
hunt	19810801	1.74	62			4558	stephen hunt	
jonathan greening	19790102	1.8	73			1673	jonathan greening	
z. grygera	19800514	1.74	78			12319	zdenek grygera	
miroslav klose	19780609	1.82	81			7530	miroslav klose	
lewis	19740517	1.86	83			12394	eddie lewis	
darijo	19820501	1.78	98			518	darijo srna	
emre belozoglu	19800907	1.71	76			12332	emre belozoglu	
cicinho	19800624	1.72	78			12180	cicinho	
majstorovic	19770405	1.9	67			12333	daniel majstorovic	
mladen krstajic	19740304	1.91	65			12349	mladen krstajic	
