gilbert	19870228	1.68	96			8427	kerrea gilbert	
d. tristan	19760105	1.86	87			7943	diego tristan	
yossi	19800606	1.76	85			11502	yossi benayoun	
h. beye	19770119	1.83	78			2284	habib beye	
david	19811203	1.75	68			11080	david villa	
g. pandev	19830727	1.84	63			7692	goran pandev	
fabien barthez	19710628	1.8	93			3022	fabien barthez	
a. svensson	19760717	1.78	82			12393	anders svensson	
e. pogatetz	19830116	1.87	91			10202	emanuel pogatetz	
park ji-sung	19810225	1.75	86			3220	park ji-sung	
glen	19751015	1.91	83			9688	glen little	
quaresma	19830926	1.73	67			11126	ricardo quaresma	
j. terry	19801207	1.83	78			6739	john terry	
micah richards	19880624	1.8	83			11663	micah richards	
essien	19821203	1.8	78			8557	michael essien	
piotr	19840322	1.68	68			9356	piotr trochowski	
scharner	19800311	1.91	72			7848	paul scharner	
p. enckelman	19770310	1.88	78			7285	peter enckelman	
j. samuel	19810329	1.8	72			11411	jlloyd samuel	
anderson	19820829	1.88	81			12270	anderson silva de franca	
larsson	19850606	1.78	70			4196	sebastian larsson	
maniche	19771111	1.73	61			12179	maniche	
frederic	19770902	1.93	103			12330	frederic kanoute	
m. gomez	19850710	1.89				12216	mario gomez	
d. etuhu	19820608	1.88	87			2850	dickson etuhu	
gillespie	19750218	1.78	71			2389	keith gillespie	
rade	19800630	1.85	87			759	rade prica	
rakitic	19880310	1.84	63			12310	ivan rakitic	
duff	19790302	1.78	60			6069	damien duff	
hughes	19760619	1.78	71			5609	bryan hughes	
w. sneijder	19840609	1.7	72			1623	wesley sneijder	
j. vogel	19770308	1.77	94			8559	johann vogel	
e. abidal	19790711	1.8	64			12311	eric abidal	
d. hamann	19730827	1.91	99			812	dietmar hamann	
mears	19830218	1.72	77			3338	tyrone mears	
f. coloccini	19820122	1.83	78			992	fabricio coloccini	
klose	19780609	1.82	74			7530	miroslav klose	
e. belozoglu	19800907	1.71	68			12332	emre belozoglu	
cicinho	19800624	1.7	78			12180	cicinho	
d. majstorovic	19770405	1.9	67			12333	daniel majstorovic	
younes	19860104	1.9	74			12272	younes kaboul	
b. n'gotty	19710610	1.85	86			7303	bruno n'gotty	
segundo castillo	19820515	1.8	100			4843	segundo castillo	
salomon kalou	19850805	1.75	79			4860	salomon kalou	
andy van der meyde	19790930	1.81	75			12273	andy van der meyde	
rosenberg	19820927	1.78	74			5914	markus rosenberg	
quim	19751113	1.97	97			12205	quim	
ciprian	19851002	1.82	87			4951	ciprian marica	
m. reiziger	19730503	1.78	75			5335	michael reiziger	
robbie	19750409	1.8	75			7307	robbie fowler	
cole	19801220	1.73	67			8836	ashley cole	
c. fritz	19801207	1.83	63			9536	clemens fritz	
gael	19850726	1.79	71			12312	gael clichy	
petric	19810101	1.83	66			12334	mladen petric	
valente	19740912	1.82	62			8402	nuno valente	
robinho	19840125	1.72	66			12182	robinho	
cavenaghi	19830921	1.81	91			798	fernando cavenaghi	
simic	19751112	1.8	81			12335	dario simic	
xavi	19800125	1.68	67			2378	xavi	
m. veloso	19860511	1.8	76			1857	miguel veloso	
naysmith	19781116	1.73	103			633	gary naysmith	
nicky	19750121	1.77	83			11203	nicky butt	
b. jankovic		1.85	80			12336	bosko jankovic	
john	19861024	1.93	97			2721	john ruddy	
i. klasnic	19800129	1.82	63			12313	ivan klasnic	
j. spector	19860301	1.83	80			10978	jonathan spector	
villanueva	19860205	1.73	84			12396	carlos villanueva	
f. muamba	19880406	1.85	74			1393	fabrice muamba	
tomasz kuszczak	19820320	1.9	65			2536	tomasz kuszczak	
m. sanctis	19770326	1.9	80			1239	morgan de sanctis	
jagielka	19820817	1.8	80			9574	phil jagielka	
r. dunne	19790921	1.85	88			12028	richard dunne	
jose	19830901	1.75	71			12314	jose antonio reyes	
n. sahin	19880509	1.79	65			12337	nuri sahin	
g. steinsson	19820109	1.83	70			12315	gretar rafn steinsson	
s. pienaar	19820317	1.76	59			11238	steven pienaar	
paul	19810515	1.78	69			11064	paul konchesky	
d. weir	19700510	1.93	81			12397	david weir	
l. andreasen	19830423	1.86	81			9807	leon andreasen	
heaton	19860415	1.85	94			7150	tom heaton	
nicky	19810219	1.75	68			11314	nicky shorey	
harper	19750314	1.88	81			5915	steve harper	
j. roberts	19780125	1.7	79			12316	jason roberts	
gary neville	19750218	1.8	83			6904	gary neville	
hargreaves	19810120	1.8	73			1317	owen hargreaves	
n. gomes	19760705	1.8	59			5517	nuno gomes	
n. zigic		2.02	63			12340	nikola zigic	
dwight	19711103	1.78	78			5392	dwight yorke	
t. linderoth	19790421	1.75	69			5368	tobias linderoth	
toure	19810319	1.78	92			12277	kolo toure	
charisteas	19800209	1.9	82			12169	angelos charisteas	
marcelo	19741224	1.73	73			3634	marcelo salas	
david silva	19860108	1.73	67			12230	david silva	
a. gardner	19800919	1.96	86			5791	anthony gardner	
jansen	19850411	1.91	72			8022	marcell jansen	
j. thomas	19830323	1.78	74			8595	jerome thomas	
gago	19860410	1.78	66			8240	fernando gago	
o. kapo	19800927	1.87	78			5460	olivier kapo	
t. hibbert	19810220	1.73	70			10195	tony hibbert	
s. finnan	19760420	1.78	76			9989	steve finnan	
giles	19880805	1.85	78			10435	giles barnes	
omar	19800304	1.74	71			11938	omar bravo	
valon	19850419	1.84	72			6434	valon behrami	
kim	19820824	1.82	92			12240	kim kallstrom	
pablo	19850116	1.74	70			6750	pablo zabaleta	
philipp	19830215	1.84	67			46	philipp degen	
d. kitson	19800121	1.91	70			5604	dave kitson	
s. diao	19770210	1.84	78			8041	salif diao	
nevland	19771110	1.77	73			362	erik nevland	
mike	19831105	1.84	99			8450	mike hanke	
hughes	19791108	1.83	71			8647	aaron hughes	
ernst	19790530	1.82	75			507	fabian ernst	
bobic	19711030	1.85	77			10467	fredi bobic	
nicklas	19880116	1.91				2736	nicklas bendtner	
patrick	19760701	1.88	81			4301	patrick kluivert	
v. iaquinta	19791121	1.85	77			8982	vincenzo iaquinta	
tony	19740511	1.93	87			7102	tony warner	
marco	19770529	1.87	77			1507	marco cassetti	
arne	19790529	1.85	76			2058	arne friedrich	
i. olic	19790914	1.82	64			12341	ivica olic	
amanatidis	19811203	1.8	99			3624	ioannis amanatidis	
j. aliadiere	19830330	1.8	83			12244	jeremie aliadiere	
deco	19770827	1.74	73			12184	deco	
carlos	19790731	1.83	78			3408	carlos marchena	
simpson	19870104	1.73	75			11152	danny simpson	
david	19790517	1.72	92			12246	david jarolim	
drogba	19780311	1.8	74			2725	didier drogba	
nash	19730913	1.96	79			5022	carlo nash	
walter samuel	19780322	1.79	92			12231	walter samuel	
ronaldinho	19800321	1.76	71			12185	ronaldinho	
g. doherty	19800131	1.88	83			155	gary doherty	
mills	19770518	1.8	74			12219	danny mills	
stephen ireland	19880822	1.83	103			9723	stephen ireland	
renan	19850124	1.84	82			8091	renan	
gibson	19871025	1.83	78			3711	darron gibson	
mertesacker	19840929	1.96	60			6335	per mertesacker	
c. gordon	19821231	1.93	91			7974	craig gordon	
s. maierhofer	19820816	2.02	86			5411	stefan maierhofer	
c. fagan	19821211	1.76	74			11759	craig fagan	
m. desailly	19680907	1.85	85			4047	marcel desailly	
rafinha	19850907	1.72	71			12187	rafinha	
n. solano	19741212	1.73	67			784	nolberto solano	
paul	19860106	1.96	61			12368	paul mcshane	
titus bramble	19810721	1.85	95			9936	titus bramble	
a. pirlo	19790519	1.77	103			1025	andrea pirlo	
jankulovski	19770509	1.84	66			2426	marek jankulovski	
quashie	19780720	1.83	78			10851	nigel quashie	
jack rodwell	19910311	1.85	59			8874	jack rodwell	
rafael	19830211	1.75	70			1081	rafael van der vaart	
jamie	19801130	1.91	91			4798	jamie ashdown	
taarabt	19890524	1.8	76			6912	adel taarabt	
