153	Casa Chapala Mexican Restaurant	5124791200	
154	Austin's Pizza	5127958888	
155	Hog Island Italian Deli	5124829090	
156	Trace	5125423660	
157	Manuel's Downtown	5124727555	
158	McDonald's	5124940043	
159	Subway	5124729191	
160	Subway	5122361155	
161	Sonic Drive-In	5124745988	
162	Subway	5124809102	
163	Quiznos	5124949300	
164	Chipotle Mexican Grill	5123911668	
165	Wholly Cow Burgers	5124695837	
166	Which Wich	5124729424	
167	Taco Cabana	5124780875	
168	Schlotzsky's Deli	5125302915	
169	Finn & Porter	5124934900	
170	Piranha Killer Sushi	5124738775	
171	Hickory Street	5124778968	
172	Second Bar & Kitchen	5128272750	
173	Mekong River Restaurant	5122368878	
174	Halcyon Coffee House Bar & Lounge	5124729637	
175	J Blacks Feel Good Lounge	5124336954	
176	Bull Mccabes	5124721170	
177	Dog & Duck Pub	5124790598	
178	Chinatown Downtown	5126378888	
179	The Side Bar	5123220697	
180	Mugshots	5122360008	
181	Geisha Sushi & Grill	5124802211	
182	Mai Thai Restaurant	5124828244	
183	Clive's	5124944120	
184	The Ranch	5124652016	
185	Mongolian Grille	5124763938	
186	Silhouette Restaurant & Bar	5124788899	
187	Apple Annie's Cafe Bakery & Catering	5124721884	
188	Friends Bar	5123208193	
189	Bikinis Sports Bar & Grill	5124690001	
190	Little Woodrow's On West 6th	5124772337	
191	tenOak bourbon house + lounge	5124722822	
192	Peckerheads	5124959216	
193	Lavaca Street Grill	5124690606	
194	Lavaca Street Bar	5124690106	
195	219 West	5124742194	
196	The Troubadour	5125429826	
197	The Dogwood	5125319062	
198	Beerland	5124797625	
199	Trifecta on 3rd	5123209909	
200	How Do You Roll?	5123208400	
201	P.F. Chang's	5124578300	
202	Micheladas Cafe y Cantina	5123200300	
203	Lavaca Teppan	5125208630	
204	96 Bar	5124336702	
205	Container Bar Austin	5123200820	
206	Icenhauer's	5124730005	
207	Shoreline Grill	5124776392	
208	Mulberry	5123200292	
209	Koriente Restaurant	5122750852	
210	The Brown Bar	5124808330	
211	BD Riley's Irish Pub	5124941335	
212	Thai Passion	5124721244	
213	Annie's Cafe & Bar	5124721884	
214	Barchi Sushi	5123825557	
215	Kenichi	5123208883	
216	Kyoto Japanese Restaurant	5124829010	
217	Brian's Brew Coffee	5127387713	
