park side	301 e 6th st	5124749898	parkside-austin	3	parkside
peckerheads	402 e 6th st	5124959216		192	peckerheads
pelons tex mex	802 red river st	5122437087		101	pelons tex mex
perry's steak house austin	114 w 7th st ste 110	5124746300	perryssteakhouse	11	perry's steak house austin
pf chang's china bistro	201 san jacinto blvd	5124578300	pfchangs.com/locations/locationdetail.aspx?sid=9400andamp;checked=1	201	p.f. chang's
piranha killer sushi	207 san jacinto blvd ste 202	5124738775		170	piranha killer sushi
pizzeria papparazzi	e 6th st	5124808053		86	pizzeria papparazzi
player's	300 w martin luther king jr blvd	5124789299	austinplayers	141	players
quattro gatti	908 congress ave	5124763131	quattrogattiaustin	30	quattro gatti
quiznos	922 congress ave	5124949300	quiznos.com/restaurants/tx/austin	163	quiznos
rainbow cattle	303 w 5th st	5124725288	rainbowcattleco	89	rainbow cattle co
ranch 616	20  nueces st		theranch616	65	ranch 616.
roaring fork	701 congress ave	5125830000	roaringfork	66	roaring fork
russian house	307 e 5th st	5124285442		245	russian house
ruth's chris steak house	107 w 6th st	5124777884	ruthschris.com/steak-house/4011/austin	18	ruth's chris steak house
saba blue water cafe	po box 12931	5124787222	austinbluesclub	92	saba blue water cafe
sagra	1610 san antonio st	5125353764	sagrarestaurant.net	27	sagra
sam's grill	400 w 15th st ste b10	5124818881		113	sam's grill
san antonio spurs	515 congress ave ste 1755	5124723280		87	san antonio spurs
scholtz beer gargen	1607 san jacinto blvd	5124741958		40	scholz garden
serranos coffee & cantina	1111 red river st	5123229922		226	serranos cafe & cantina
serve gourmet	241 w 3rd st	5124800171	servegourmet	249	serve gourmet
silhouette ktv	718 1/2 congress ave	5124773311	silhouette718	186	silhouette restaurant & bar
starbucks	1001 congress ave ste 180	5122360061		235	starbucks coffee
story of texas cafe the	1800 congress ave	5123200403	texasstatehistorymuseumstore	232	the story of texas cafe
stubbs austin	801 red river st	5123801675		33	stubb's catering
subway	500 w martin luther king jr blvd	5122361155		160	subway
subway	1210 san antonio st	5124729191	subway	159	subway
subway	809 congress ave	5124809102	subway	162	subway
taco cabana	517 w martin luther king jr blvd	5124780875	tacocabana	167	taco cabana
taco shack	402 brazos st	5124730101	tacoshack	76	taco shack
taverna austin	258 w 2nd st	5124771001	tavernabylombardi	9	taverna
texadelphia moonlight place	501 w 15th st ste b	5123919189	texadelphia	13	texadelphia
texas chili parlor	1409 lavaca st	5124732829	cactushill.com/tcp/home.htm	10	texas chili parlor
thai passion	620 congress ave ste 105	5124721244		212	thai passion
thistle cafe	221 w 6th st	5124745222		238	thistle cafe
three forks	111 lavaca st	5124741776	3forks	29	3 forks
thundercloud subs	360 nueces st ste 80	5124727827	thundercloud	114	thundercloud subs
thundercloud subs	1608 lavaca st	5124783281	thundercloud	118	thundercloud subs
trio	98 san jacinto blvd	5126858300	triorestaurantaustin	20	trio
truluck's seafood downtown	400 colorado st	5124829000		19	truluck's seafood downtown
wahoo's fish tacos	rio grande st	5123826917	wahoostexas	60	wahoo's fish taco
which wich superior sandwiches	259 w 3rd st	5124729424	whichwich	166	which wich
wholly cow burgers	619 congress ave	5124695837		165	wholly cow burgers
young vince steak house	301 san jacinto blvd	5124578325	vinceyoungsteakhouse	5	vince young steakhouse
extreme pita	515 congress ave ste 130	5123201560	extremepita	150	extreme pita
fado irish pub	214 w 4th st	5124570172	fadoirishpub	53	fado irish pub
fogo de chao	20  e 3rd st		fogodechao	7	fogo de chao
frank & angie's	508 west ave	5124723534		36	frank & angie's pizzeria.
friend's bar	208 e 6th st	5123208193		188	friends bar
gingerman the	304 w 4th st	5124738801		228	the ginger man
graj mahal cafe	91 red river st	5124802255	grajmahalaustin	75	g'raj mahal cafe
gruv	101 w 5th st	5125423316		151	gruv
hickory street	800 congress ave	5124778968		171	hickory street
hoboken pie	718 red river st	5124774256		142	hoboken pie
hoffbrau steak	613 w 6th st	5124720822		48	hoffbrau steak
how do you roll	454 w 2nd st	5123208400	howdoyouroll	200	how do you roll?
ihop	707 e cesar chavez st	5124781188		32	ihop
imperia	310 colorado st	5124726770	imperia-austin	34	imperia
iron cactus		5124729240		55	iron cactus mexican grill & margarita bar
iron works barbecue	100 red river st	5124784855	ironworksbbq	8	iron works barbeque.
cantina laredo	201 w 3rd st	5125429670	cantinalaredo	273	cantina laredo
katz's deli	618 w 6th st	5124722646	katzneverkloses	277	katz's deli
pizza hut	1811 guadalupe st	5123208030	pizzahut	276	pizza hut
