murphy's deli	700 lavaca st ste&nbsp;110	5124808881	murphysdeli	80	murphy's deli
bess bistro on pecan	500 w 6th st	5124772377	bessbistro	136	bess bistro on pecan
union park	20  w 6th st			71	union park
parkside	301 e 6th st	5124749898		3	parkside
emilia's restaurant	600 e 3rd st	5124699722	emiliasrestaurant	54	emilia's restaurant
mulberry	360 nueces st	5123200292	mulberryaustin	208	mulberry
which wich	259 w 3rd st	5124729424	whichwich	166	which wich
thai passion	620 congress ave ste&nbsp;105	5124721244	thaipassion	212	thai passion
clay pit	1601 guadalupe st	5123225131	claypit	227	clay pit
hideout coffeehouse	617 congress ave	5124761313	hideouttheatre	229	hideout
hoffbrau steak	613 w 6th st	5124720822	originalhoffbrausteaks	48	hoffbrau steak
la traviata	314 congress ave	5124798131	latraviata.net	37	la traviata
marq	422 congress ave	5123225180	myspace.com/themarqaustin	140	the marq
tiff's treats	1806 nueces st	5124732600		221	tiff's treats
walton's fancy  staple	609 w 6th st	5125423380	waltons-florist	267	walton's fancy & staple
juan pelota cafe	400 nueces st	5124730222	mellowjohnnys	251	juan pelota cafe
blue ribbon barbecue	120 e 4th st	5123693119	brbbq.net	47	blue ribbon barbecue
trace	200 lavaca st	5125423660	traceaustin	156	trace
second bar  kitchen	200 congress ave	5128272750		172	second bar & kitchen
lavaca teppan	1712 lavaca st	5125208630	lavacateppan	203	lavaca teppan
gr u v	101 w 5th st	5125423316		151	gruv
soho lounge	217 e 6th st	5122361705	sohoaustin	233	soho lounge
starbucks	501 w 15th st ste&nbsp;d	5124789090	starbucks	253	starbucks coffee
jamba juice	600 congress ave ste&nbsp;g280	5124788696	jambajuice	268	jamba juice
cedar door	201 brazos st	5124733712	cedardooraustin	263	cedar door
frank  angie's pizzeria	508 west ave	5124723534	hutsfrankandangies	36	frank & angie's pizzeria.
papa john's	411 w martin luther king jr blvd	8887777272	papajohns	69	papa john's pizza
j blacks feel good lounge	710 w 6th st	5124336954	jblacks	175	j blacks feel good lounge
austin club	20  e 9th st		austinclub	234	austin club
carmelo's restaurant	504 e 5th st	5124777497		2	carmelo's restaurant
chez nous	510 neches st	5124732413		64	chez nous.
little woodrow's on west 6th	520 w 6th st	5124772337		190	little woodrow's on west 6th
manuel's downtown	310 congress ave	5124727555	manuels	157	manuel's downtown
mongolian grille	115 san jacinto blvd	5124763938	mongoliangrille	185	mongolian grille
p f chang's china bistro	201 san jacinto blvd	5124578300	pfchangs	201	p.f. chang's
story of texas cafe	1800 congress ave	5123200403	thestoryoftexas	232	the story of texas cafe
texas chili parlor	1409 lavaca st	5124722828	cactushill.com/tcp/home.htm	10	texas chili parlor
thunder cloud subs	8 lavaca st	5123208400		118	thundercloud subs
subway	809 congress ave	5124809102	subway	162	subway
beerland	711 red river st	5124797625		198	beerland
iron works barbecue	100 red river st	8006693602	ironworksbbq	8	iron works barbeque.
scholz garden	1607 san jacinto blvd	5124741958	scholzgarten.net	40	scholz garden
la condesa	400 w 2nd st	5124990300		63	la condesa
taco shack	402 brazos st	5124730101		76	taco shack
maiko sushi lounge	311 w 6th st	5122369888		219	maiko sushi lounge
subway	1210 san antonio st	5124729191	subway	159	subway
new york ny fresh deli	215 e 6th st	5122369778		85	new york ny fresh deli
wahoo's fish taco	509 rio grande st	5124763474	wahoos	60	wahoo's fish taco
dirty dog bar	505 e 6th st	5122369800		100	dirty dog bar
cru wine bar	238 w 2nd st	5124729463	cruawinebar	50	cru wine bar
joe's bar  grill	506 west ave	5124730885		254	joe's bar & grill
kenichi	20  colorado st			215	kenichi
iron cactus mexican restaurant	20  trinity st		ironcactus	55	iron cactus mexican grill & margarita bar
lavaca street bar	lavaca st	5124722822	lavacastreet	194	lavaca street bar
logan's on sixth	200 e 6th st ste&nbsp;a	5122360300		266	logan's on sixth
murphy's deli	111 congress ave ste&nbsp;180	5127088881	austinmurphysdeli	120	murphy's deli
copa bar  grill	217 congress ave	5124795002	copabarandgrill	28	copa bar & grill
mekong river restaurant	215 e 6th st	5122368878	mekongriveraustin	173	mekong river restaurant
quiznos	922 congress ave	5124949300	quiznos	163	quiznos
ranch 616	616 nueces st	5124797616	theranch616	65	ranch 616.
red fez	209 w 5th st ste&nbsp;b	5124785120	redfez.net	224	red fez
san antonio spurs	515 congress ave ste&nbsp;1755	5124723280		87	san antonio spurs
fogo de chao	309 e 3rd st	5124720220	fogodechao	7	fogo de chao
imperia	310 colorado st	5124726770		34	imperia
thirsty nickel	325 e 6th st	5124738891	thirstynickel	242	the thirsty nickel
macs meals	333 guadalupe st	5124741140		106	macs meals
athenian bar  grill	600 congress ave ste&nbsp;c150	5124747775		139	athenian bar & grill
el sol y la luna	600 e 6th st	5124447770		225	el sol y la luna
silhouette ktv	718 1/2 congress ave	5124773311		186	silhouette restaurant & bar
cafe crepe le	200 san jacinto blvd	5124800084	cafecrepeofaustin	122	cafe crepe le
rainmaker document tech	111 congress ave ste&nbsp;p10	5124729911	gorainmaker	121	rainmaker document technologies
peckerheads	402 e 6th st	5124959216	myspace.com/peckerheadsonsixth	192	peckerheads
max's wine dive	207 san jacinto blvd ste&nbsp;200	5129040111		61	max's wine dive
bikini's sports bar  grill	214 e 6th st	5124693331	bikinissportsbarandgrill	189	bikinis sports bar & grill
thunder cloud subs	360 nueces st apt&nbsp;80	5124727827		114	thundercloud subs
quattro gatti	908 congress ave	5124763131	quattrogattiaustin	30	quattro gatti
g'raj mahal cafe	91 red river st	5124802255	grajmahalaustin	75	g'raj mahal cafe
chinatown downtown	107 w 5th st	5126378888	chinatown-downtown	178	chinatown downtown
el narango	85 rainey st	5124742776	elnaranjo-restaurant	129	el naranjo
how do you roll	w 2nd st	5124763131	howdoyouroll	200	how do you roll?
