110	simon's cafe-rio grande	1212 rio grande st	5124820378	simoncafe	
109	kt's deli	300 w 15th st	5124959313		
106	macs meals	333 guadalupe st	5124741140		
105	carol's cafe	333 guadalupe st	5123220108	carolscafe	
119	chicken bowl	1610 lavaca st	5124749003		
118	thundercloud subs	1608 lavaca st	5124783281	thundercloud	
117	coal vines	314 w 2nd st	5124732744	coalvines	
116	the jalopy rotisserie & press	1502 san antonio st	5128148557	jalopyaustin	
114	thundercloud subs	360 nueces st	5124727827	thundercloud	
113	sam's grill	400 w 15th st	5124818881		
127	janitzio mexican restaurant	600 w martin luther king jr blvd	5123220040	janitziosaustin	
125	chick-fil-lay	503 w martin luther king jr blvd	5124738651		
124	bonneville	200 e cesar chavez st	5124284643	thebonnevilleaustin	
123	stephen f austin cafeteria	1700 congress ave	5124760901	thebonnevilleaustin	
122	cafe crepe le	200 san jacinto blvd	5124800084	cafecrepeofaustin	
121	rainmaker document technologies	111 congress ave ste p10	5124729911	rainmaker	
120	murphy's deli	111 congress ave	5127088881	murphysdeli	
136	bess bistro on pecan	500 w 6th st	5124772377	bessbistro	
139	athenian bar & grill	600 congress ave	5124747775	athenianbargrill	
141	players	300 w martin luther king jr blvd	5124789299	austinplayers	
140	the marq	422 congress ave	5123225180	myspace.com/themarqaustin	
142	hoboken pie	718 red river st	5124774256	hobokenpie	
129	el naranjo	85 rainey st	5124742776	elnaranjo-restaurant	
128	no va kitchen & bar	87 rainey st	5123825618	novaonrainey	
131	big fat greek gyros	74 rainey st	5123646635	bigfatgreekgyros	
132	pecan tree restaurant	20 n interstate 35	5124728211	hiaustintownlake.pacificahost	
152	chupacabra	400 e 6th st	5127034628	chupacabracantina	
153	casa chapala mexican restaurant	101 san jacinto blvd	5124791200	casachapala	
156	trace	200 lavaca st	5125423660	traceaustin	
157	manuel's downtown	310 congress ave	5124727555	manuels	
158	mcdonald's	414 w martin luther king jr blvd	5124940043	mcdonalds	
159	subway	1210 san antonio st	5124729191	subway	
145	malaga tapas & bar	440 w 2nd st	5122368020	malagatapasbar	
147	william b travis cafeteria	1701 congress ave	5124637326		
148	murphy's deli	600 congress ave	5122368881	murphysdeli	
149	murphy's deli	301 congress ave	5124748881	murphysdeli	
150	extreme pita	515 congress ave	5123201560	extremepita	
151	gruv	101 w 5th st	5125423316		
171	hickory street	800 congress ave	5124778968	hickorystreet	
170	piranha killer sushi	207 san jacinto blvd	5124738775	piranhakillersushi	
169	finn & porter	500 e 4th st	5124934900	finnandporter	
175	j blacks feel good lounge	710 w 6th st	5124336954	jblacks	
174	halcyon coffee house bar & lounge	218 w 4th st	5124729637	halcyonaustin	
173	mekong river restaurant	215 e 6th st	5122368878	mekongriveraustin	
172	second bar & kitchen	200 congress ave	5128272750	congressaustin	
163	quiznos	922 congress ave	5124949300	quiznos	
162	subway	809 congress ave	5124809102	subway	
160	subway	500 w martin luther king jr blvd	5122361155	subway	
167	taco cabana	517 w martin luther king jr blvd	5124780875	tacocabana	
166	which wich	259 w 3rd st	5124729424	whichwich	
165	wholly cow burgers	619 congress ave	5124695837	whollycowburgers	
164	chipotle mexican grill	801 congress ave	5123911668	chipotle	
186	silhouette restaurant & bar	718 congress ave	5124788899	silhouette718	
185	mongolian grille	117 san jacinto blvd	5124763938	mongoliangrille-downtown	
190	little woodrow's on west 6th	520 w 6th st	5124772337	littlewoodrows	
191	tenoak bourbon house + lounge	409 colorado st	5124722822	tenoakaustin	
188	friends bar	208 e 6th st	5123208193	friendsbar	
189	bikinis sports bar & grill	214 e 6th st	5124690001	bikinissportsbarandgrill	
178	chinatown downtown	107 w 5th st	5126378888	chinatown-downtown	
176	bull mccabes	714 red river st	5124721170		
177	dog & duck pub	406 w 17th st	5124790598	dogandduckpub	
182	mai thai restaurant	207 san jacinto blvd #201	5124828244	maithaiaustin	
180	mugshots	407 e 7th st	5122360008	mugshotsaustin	
181	geisha sushi & grill	616 e 6th st	5124802211	sushigeisha	
201	p.f. chang's	201 san jacinto blvd	5124578300	pfchangs	
200	how do you roll?	454 w 2nd st	5123208400	howdoyouroll	
203	lavaca teppan	1712 lavaca st	5125208630	lavacateppan	
202	micheladas cafe y cantina	333 e 2nd st	5123200300	facebook.com/micheladasaustin	
197	the dogwood	715 w 6th st	5125319062	thedogwoodaustin	
199	trifecta on 3rd	360 nueces st	5123209909	trifectaaustin	
198	beerland	711 red river st	5124797625		
192	peckerheads	402 e 6th st	5124959216	myspace.com/peckerheadsonsixth	
195	219 west	219 w 4th st	5124742194	219west	
194	lavaca street bar	405 lavaca st	5124690106	lavacastreet	
221	tiff's treats	1806 nueces st	5124732600	cookiedelivery	
222	cuba libre	409 colorado st	5124722822	cubalibreaustin	
216	kyoto japanese restaurant	315 congress ave	5124829010	kyotodowntown	
217	brian's brew coffee	515 congress ave	5127387713	briansbrew	
219	maiko sushi lounge	311 w 6th st	5122369888	maikoaustin	
212	thai passion	620 congress ave #105	5124721244	thaipassion	
213	annie's cafe & bar	319 congress ave	5124721884	anniescafebar	
214	barchi sushi	206 colorado st	5123825557	barchiaustin	
215	kenichi	419 colorado st	5123208883	kenichiaustin	
208	mulberry	360 nueces st	5123200292	mulberryaustin	
209	koriente restaurant	621 e 7th st	5122750852	koriente	
211	bd riley's irish pub	204 e 6th st	5124941335	bdrileys	
238	thistle cafe	221 w 6th st	5124745222	thistlecafe	
237	mess hall	1019 brazos st	5123229625	messhall.net	
235	starbucks coffee	1001 congress ave	5122360061	starbucks	
234	austin club	110 e 9th st	5124779496	austinclub	
233	soho lounge	217 e 6th st	5122361705	sohoaustin	
232	the story of texas cafe	1800 congress ave	5123200403	thestoryoftexas	
231	easy tiger	709 e 6th st	5126144972	easytigeraustin	
229	hideout	617 congress ave	5124761313	hideouttheatre	
228	the ginger man	304 w 4th st	5124738801	gingermanpub	
227	clay pit	1601 guadalupe st	5123225131	claypit	
226	serranos cafe & cantina	1111 red river st	5123229080	serranos	
225	el sol y la luna	600 e 6th st	5124447770	elsolylalunaaustin	
224	red fez	209 w 5th st # b	5124785120	redfez.net	
254	joe's bar & grill	506 west ave	5124730885	joesbargrill	
252	meneo	217 congress ave	5124795094		
253	starbucks coffee	501 w 15th st	5124789090	starbucks	
251	juan pelota cafe	400 nueces st	5124730222	mellowjohnnys	
248	delish bakery ltd	209 w 3rd st	5124734118	delish-cupcakes	
249	serve gourmet	241 w 3rd st	5124800171	servegourmet	
246	starbucks	300 e 4th st	5122368008	starbucks	
247	daily juice group	205 w 3rd st	5122436532	dailyjuicecafe	
245	russian house	307 east 5th street	5124285442	russianhouseofaustin	
242	the thirsty nickel	325 e 6th st	5124738891	thirstynickel	
243	jackalope	404 e 6th st	5124695801	jackalopebar	
240	driskill hotel	604 brazos st	5124745911	driskillhotel	
241	valentine & friends inc	311 e 6th st	5129266246		
275	caffe medici austonian	200 congress ave	5128272770	theaustonian	
