12340	nikola zigic	19800925	2.02	63	forwarder	ba??ka topola  socialist federal republic of yugoslavia|sfr yugoslavia	
9809	ian walker	19711031	1.94	100	goalkeeper	watford  hertfordshire  england	
3408	carlos marchena	19790731	1.83	93	defender	las cabezas de san juan|las cabezas  spain	
8400	dennis rommedahl	19780722	1.79	85	goalkeeper	copenhagen  denmark	
5748	leandro romagnoli	19810317	1.72	87	midfielder	buenos aires  argentina	
12190	marcus bent	19780519	1.88	57	forwarder	hammersmith  london  england	
10047	gareth southgate	19700903	1.83	100	defender	watford  england	
2311	scott carson	19850903	1.91	67	goalkeeper	whitehaven  england	
12343	mirko vucinic	19831001	1.86	76	forwarder	nik�i?  socialist federal republic of yugoslavia|sfr yugoslavia	
10621	jack collison	19881002	1.82	80	midfielder	watford  england	
12301	gerard pique	19870202	1.92	82	defender	barcelona  spain	
10202	emanuel pogatetz	19830116	1.90	91	defender	graz  austria	
4833	olivier veigneau	19850716	1.74	72	defender	suresnes  hauts-de-seine  france	
7650	diego forlan	19790519	1.80	96	forwarder	montevideo uruguay	
12231	walter samuel	19780323	1.83	92	defender	laborde argentina	
4966	jacques abardonado	19780527	1.84	61	defender	marseille  france	
12368	paul mcshane	19860106	1.96	61	defender	kilpedder  republic of ireland|ireland	
12342	asmir begovic	19870620	1.96	98	goalkeeper	trebinje  socialist federal republic of yugoslavia|sfr yugoslavia	
7126	lee martin	19680909	1.85	65	goalkeeper	huddersfield  england	
3485	johan elmander	19810527	1.88	66	forwarder	alingsås  sweden	
2716	frank baumann	19751029	1.87	70	midfielder	würzburg  west germany	
2637	sebastian deisler	19800105	1.81	102	midfielder	lörrach  west germany	
7612	romeo castelen	19830503	1.70	79	midfielder	paramaribo  suriname	
7349	thierry henry	19770817	1.88	67	forwarder	les ulis  essonne  france	
3673	maik taylor	19710904	1.93	63	goalkeeper	hildesheim  west germany	
12170	rivaldo	19720419	1.86	65	midfielder	paulista  brazil	
5180	hugo almeida	19840523	1.91	74	forwarder	figueira da foz  portugal	
12287	juan pablo sorin	19760505	1.73	93	defender	buenos aires  argentina	
