robert	19740406	1.82	82			12377	robert kovac	
r. pires	19731029	1.87	80			12284	robert pires	
boenisch	19870201	1.91	85			8658	sebastian boenisch	
eichner	19821124	1.83	76			6406	christian eichner	
stankovic	19780911	1.81	75			12347	dejan stankovic	
danny	19811228	1.78	72			11933	danny webber	
boubacar sanogo	19821217	1.87	57			7470	boubacar sanogo	
wesley	19780809	1.74	75			1913	wesley sonck	
park ji-sung	19810225	1.73	86			3220	park ji-sung	
cassano	19820712	1.75	78			6680	antonio cassano	
andriy shevchenko	19760929	1.81	84			12194	andriy shevchenko	
fabio	19771128	1.9	63			3385	fabio grosso	
ricardo quaresma	19830926	1.73	67			11126	ricardo quaresma	
jonny	19880102	1.88	57			12223	jonny evans	
michael	19821203	1.8	97			8557	michael essien	
francesco	19711202	1.96	95			6603	francesco toldo	
gilardino	19820705	1.84	79			8144	alberto gilardino	
vladimir	19730524	1.81	77			12329	vladimir smicer	
marko babic	19810121	1.65	72			12408	marko babic	
lee bowyer	19770103	1.76	66			8819	lee bowyer	
timo hildebrand	19790405	1.85	62			2710	timo hildebrand	
sulley ali muntari	19840827	1.79	67			12308	sulley ali muntari	
braaten	19820525	1.84	80			9068	daniel braaten	
l. modric	19850909	1.75	67			12318	luka modric	
fellaini	19871122	1.94	85			4215	marouane fellaini	
nesta	19760319	1.87	79			7139	alessandro nesta	
blanco	19730117	1.75	85			12288	cuauhtemoc blanco	
etuhu	19820608	1.88	83			2850	dickson etuhu	
damien	19790203	1.78	79			6069	damien duff	
wesley sneijder	19840609	1.7	81			1623	wesley sneijder	
aaron	19860904	1.83	82			7762	aaron hunt	
gennaro	19780109	1.77	77			11619	gennaro gattuso	
andreas isaksson	19811003	1.99	100			6078	andreas isaksson	
e. abidal	19790711	1.86	74			12311	eric abidal	
guerrero	19771130	1.7	95			12409	ivan guerrero	
hunt	19810801	1.74	62			4558	stephen hunt	
greening	19790102	1.8	73			1673	jonathan greening	
zdenek	19800514	1.74	78			12319	zdenek grygera	
miroslav klose	19780609	1.82	81			7530	miroslav klose	
lewis	19740517	1.86	83			12394	eddie lewis	
d. srna	19820501	1.78	98			518	darijo srna	
emre belozoglu	19800907	1.71	76			12332	emre belozoglu	
cicinho	19800624	1.72	78			12180	cicinho	
d. majstorovic	19770405	1.9	67			12333	daniel majstorovic	
mladen	19740304	1.91	65			12349	mladen krstajic	
castillo	19820515	1.81	78			4843	segundo castillo	
ching	19780524	1.85	72			8310	brian ching	
barnetta	19850522	1.76	87			4661	tranquillo barnetta	
x. alonso	19811125	2.03	75			10271	xabi alonso	
marchionni	19800722	1.75	66			7319	marco marchionni	
basinas	19760103	1.75	76			398	angelos basinas	
walcott	19890316	1.73	102			11608	theo walcott	
cristiano zanetti	19770414	1.8	92			11377	cristiano zanetti	
b. zenden	19760815	1.75	72			2911	boudewijn zenden	
markus rosenberg	19820927	1.85	71			5914	markus rosenberg	
j. cruz	19741010	1.9	74			12382	julio cruz	
persie	19830806	1.83	62			12320	robin van persie	
clemens fritz	19801207	1.83	63			9536	clemens fritz	
ashley	19801220	1.52	69			8836	ashley cole	
mullins	19790327	1.8	72			2322	hayden mullins	
rensing	19840514	1.88	68			9997	michael rensing	
inzaghi	19730809	1.94	74			3111	filippo inzaghi	
k. dyer	19781229	1.73	88			2787	kieron dyer	
b. foster	19830403	1.88	80			2505	ben foster	
k. boulahrouz	19811228	1.79	77			5187	khalid boulahrouz	
tim wiese	19811217	1.93	96			8106	tim wiese	
xavi	19800125	1.7	67			2378	xavi	
vaughan	19880714	2.02	59			12412	james vaughan	
miguel	19860511	1.8	92			1857	miguel veloso	
bosko	19840301	1.84	79			12336	bosko jankovic	
dennis rommedahl	19780722	1.77	85			8400	dennis rommedahl	
ivan klasnic	19800129	1.86	79			12313	ivan klasnic	
fernando	19760405	1.86	79			10524	fernando morientes	
l. magnin	19790420	1.86	95			1016	ludovic magnin	
n. barmby	19740211	1.7	71			1882	nick barmby	
muamba	19880406	1.88	57			1393	fabrice muamba	
landon	19820304	1.73	91			8788	landon donovan	
igor akinfeev	19860408	1.85	66			4544	igor akinfeev	
diego milito	19790612	1.83	88			4616	diego milito	
o. anderson	19880413	1.76	86			12204	oliveira anderson	
richard dunne	19790921	1.85	88			12028	richard dunne	
mamadou niang	19791013	1.78	89			2956	mamadou niang	
florent	19800613	1.83	73			9180	florent malouda	
jose	19830901	1.75	89			12314	jose antonio reyes	
liam cooper	19910830	1.82	59			928	liam cooper	
bastian schweinsteiger	19840801	1.8	76			7333	bastian schweinsteiger	
steven pienaar	19820317	1.76	66			11238	steven pienaar	
p. konchesky	19810515	1.78	67			11064	paul konchesky	
cahill	19791206	1.78	68			1205	tim cahill	
david weir	19700510	1.93	81			12397	david weir	
nemanja vidic	19811021	1.83	69			12351	nemanja vidic	
maloney	19830124	1.7	70			10338	shaun maloney	
leon	19830423	1.88	103			9807	leon andreasen	
caleb folan	19821026	1.88	86			5290	caleb folan	
n. spiropoulos	19831010	1.72	98			12294	nikos spiropoulos	
d. landzaat	19760506	1.78	70			4675	denny landzaat	
emmanuel	19840226	1.9	91			9184	emmanuel adebayor	
m. almunia	19770519	1.9	80			2809	manuel almunia	
