k. gilbert	19870228	1.68	96			8427	kerrea gilbert	
d. tristan	19760105	1.86	87			7943	diego tristan	
yossi	19800606	1.76	85			11502	yossi benayoun	
habib	19770119	1.83	78			2284	habib beye	
david	19811203	1.75	68			11080	david villa	
g. pandev	19830727	1.84	63			7692	goran pandev	
fabien barthez	19710628	1.8	93			3022	fabien barthez	
anders svensson	19760717	1.78	82			12393	anders svensson	
e. pogatetz	19830116	1.87	91			10202	emanuel pogatetz	
park	19810225	1.75	86			3220	park ji-sung	
little	19751015	1.91	83			9688	glen little	
r. quaresma	19830926	1.73	67			11126	ricardo quaresma	
john	19801207	1.83	78			6739	john terry	
richards	19880624	1.8	83			11663	micah richards	
michael	19821203	1.8	78			8557	michael essien	
piotr	19840322	1.68	68			9356	piotr trochowski	
paul scharner	19800311	1.91	72			7848	paul scharner	
peter	19770310	1.88	78			7285	peter enckelman	
jlloyd	19810329	1.8	72			11411	jlloyd samuel	
anderson silva de franca	19820829	1.88	81			12270	anderson silva de franca	
larsson	19850606	1.78	70			4196	sebastian larsson	
maniche	19771111	1.73	61			12179	maniche	
frederic	19770902	1.93	103			12330	frederic kanoute	
m. gomez	19850710	1.89				12216	mario gomez	
dickson etuhu	19820608	1.88	87			2850	dickson etuhu	
k. gillespie	19750218	1.78	71			2389	keith gillespie	
rade	19800630	1.85	87			759	rade prica	
ivan	19880310	1.84	63			12310	ivan rakitic	
duff	19790302	1.78	60			6069	damien duff	
b. hughes	19760619	1.78	71			5609	bryan hughes	
wesley	19840609	1.7	72			1623	wesley sneijder	
vogel	19770308	1.77	94			8559	johann vogel	
eric abidal	19790711	1.8	64			12311	eric abidal	
dietmar hamann	19730827	1.91	99			812	dietmar hamann	
tyrone	19830218	1.72	77			3338	tyrone mears	
fabricio coloccini	19820122	1.83	78			992	fabricio coloccini	
m. klose	19780609	1.82	74			7530	miroslav klose	
belozoglu	19800907	1.71	68			12332	emre belozoglu	
cicinho	19800624	1.7	78			12180	cicinho	
d. majstorovic	19770405	1.9	67			12333	daniel majstorovic	
y. kaboul	19860104	1.9	74			12272	younes kaboul	
n'gotty	19710610	1.85	86			7303	bruno n'gotty	
s. castillo	19820515	1.8	100			4843	segundo castillo	
salomon	19850805	1.75	79			4860	salomon kalou	
andy van der meyde	19790930	1.81	75			12273	andy van der meyde	
markus rosenberg	19820927	1.78	74			5914	markus rosenberg	
quim	19751113	1.97	97			12205	quim	
marica	19851002	1.82	87			4951	ciprian marica	
reiziger	19730503	1.78	75			5335	michael reiziger	
fowler	19750409	1.8	75			7307	robbie fowler	
a. cole	19801220	1.73	67			8836	ashley cole	
clemens	19801207	1.83	63			9536	clemens fritz	
gael	19850726	1.79	71			12312	gael clichy	
m. petric	19810101	1.83	66			12334	mladen petric	
n. valente	19740912	1.82	62			8402	nuno valente	
